date,balance,margin,available,short_balance,ery,long_balance,commission,net_pnl,count,turnover,return,high_level,draw_down,dd_percent,return_x
2020-04-28,103180.83694726562,0.0,103180.83694726562,103090.65694506836,{'rb2010.SHFE': -469.8810014648436},103090.65694506836,19.8810014648436,-469.88100146484794,3,9963.0007324218,-0.00454361821213462,104604.45398095703,-1423.6170336914074,-1.3609525976308554,0.9954563817878653
2020-04-29,103102.01193920898,9900.000732421802,93202.01120678718,102710.95594580077,{'rb2010.SHFE': -78.82500805663983},102710.95594580077,108.82500805663982,-78.82500805663585,18,59364.004394530806,-0.0007642420329050696,104604.45398095703,-1502.4420417480433,-1.4363079052270173,0.999235757967095
2020-04-30,104731.88793774413,10080.000732421802,94651.88720532233,103023.18693115235,{'rb2010.SHFE': 1629.8759985351564},103023.18693115235,20.1240014648436,1629.8759985351498,3,10080.0007324218,0.015684731059624056,104731.88793774413,0.0,0.0,1.015684731059624
2020-05-06,105651.32793481444,10152.000732421802,95499.32720239264,106361.76393627928,{'rb2010.SHFE': 919.4399970703128},106361.76393627928,40.5600029296872,919.4399970703089,6,20280.0014648436,0.008740676835591765,105651.32793481444,0.0,0.0,1.0087406768355918
2020-05-07,107890.27893188475,10281.000732421802,97609.27819946295,106570.76793188475,{'rb2010.SHFE': 2238.950997070313},106570.76793188475,41.049002929687205,2238.9509970703075,6,20493.0014648436,0.02097046172371396,107890.27893188475,0.0,0.0,1.0209704617237139
2020-05-08,108778.81292895506,10365.000732421802,98413.81219653325,110129.22992895506,{'rb2010.SHFE': 888.5339970703128},110129.22992895506,41.46600292968721,888.5339970703062,6,20724.0014648436,0.00820180645406908,108778.81292895506,0.0,0.0,1.008201806454069
2020-05-11,108656.65592456053,10350.000732421802,98306.65519213873,109667.34692602536,{'rb2010.SHFE': -122.15700439453082},109667.34692602536,62.157004394530816,-122.15700439452485,9,31077.0021972654,-0.0011236162884621106,108778.81292895506,-122.15700439452485,-0.11229852680439459,0.9988763837115379
2020-05-12,108463.08691723632,10377.000732421802,98086.08618481451,108534.498920166,{'rb2010.SHFE': -193.56900732421803},108534.498920166,103.56900732421802,-193.5690073242149,15,51810.003662109004,-0.0017830627106992295,108778.81292895506,-315.72601171873976,-0.29024586977699857,0.9982169372893007
2020-05-13,108970.95091284178,10368.000732421802,98602.95018041998,108269.5179099121,{'rb2010.SHFE': 507.8639956054692},108269.5179099121,62.13600439453081,507.8639956054685,9,31047.0021972654,0.004671438972836308,108970.95091284178,0.0,0.0,1.0046714389728364
2020-05-14,108037.53090624999,0.0,108037.53090624999,109478.81490844725,{'rb2010.SHFE': -933.4200065917962},109478.81490844725,93.42000659179621,-933.4200065917976,12,41568.0029296872,-0.008602666175132397,108970.95091284178,-933.4200065917976,-0.8565769122620346,0.9913973338248676
2020-05-15,108265.08090112303,10383.000732421802,97882.08016870123,107104.11089965819,{'rb2010.SHFE': 227.5499948730474},107104.11089965819,72.4500051269526,227.54999487304303,12,41406.0029296872,0.0021039975145465974,108970.95091284178,-705.8700117187545,-0.6477597981900061,1.0021039975145467
2020-05-18,109681.19189526366,10566.000732421802,99115.19116284186,108492.63089599607,{'rb2010.SHFE': 1416.1109941406255},108492.63089599607,83.8890058593744,1416.110994140632,12,41970.0029296872,0.012995229556749671,109681.19189526366,0.0,0.0,1.0129952295567497
2020-05-19,111217.94489160155,0.0,111217.94489160155,111097.3028894043,{'rb2010.SHFE': 1536.752996337891},111097.3028894043,53.247003662109,1536.752996337891,6,21261.0014648436,0.01391384150176017,111217.94489160155,0.0,0.0,1.0139138415017601
2020-05-20,110713.01488574217,0.0,110713.01488574217,112754.69788793944,{'rb2010.SHFE': -504.93000585937443},112754.69788793944,84.9300058593744,-504.9300058593799,12,42486.0029296872,-0.0045503419406292015,111217.94489160155,-504.9300058593799,-0.4540004819829294,0.9954496580593708
